[2024-06-23T02:00:59.506+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-06-23T02:00:59.528+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pokemon_example.metricspokemonweights manual__2024-06-23T01:59:27.265931+00:00 [queued]>
[2024-06-23T02:00:59.536+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pokemon_example.metricspokemonweights manual__2024-06-23T01:59:27.265931+00:00 [queued]>
[2024-06-23T02:00:59.537+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 1
[2024-06-23T02:00:59.550+0000] {taskinstance.py:2330} INFO - Executing <Task(_PythonVirtualenvDecoratedOperator): metricspokemonweights> on 2024-06-23 01:59:27.265931+00:00
[2024-06-23T02:00:59.556+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=8151) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-06-23T02:00:59.558+0000] {standard_task_runner.py:63} INFO - Started process 8152 to run task
[2024-06-23T02:00:59.558+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pokemon_example', 'metricspokemonweights', 'manual__2024-06-23T01:59:27.265931+00:00', '--job-id', '108', '--raw', '--subdir', 'DAGS_FOLDER/python_operators.py', '--cfg-path', '/tmp/tmphpp65wav']
[2024-06-23T02:00:59.559+0000] {standard_task_runner.py:91} INFO - Job 108: Subtask metricspokemonweights
[2024-06-23T02:00:59.620+0000] {task_command.py:426} INFO - Running <TaskInstance: pokemon_example.metricspokemonweights manual__2024-06-23T01:59:27.265931+00:00 [running]> on host c357804a93ab
[2024-06-23T02:00:59.748+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pokemon_example' AIRFLOW_CTX_TASK_ID='metricspokemonweights' AIRFLOW_CTX_EXECUTION_DATE='2024-06-23T01:59:27.265931+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-06-23T01:59:27.265931+00:00'
[2024-06-23T02:00:59.749+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-06-23T02:00:59.750+0000] {process_utils.py:183} INFO - Executing cmd: /home/***/.local/bin/python -m virtualenv /tmp/venvz9o8bq41 --system-site-packages --python=python
[2024-06-23T02:00:59.751+0000] {process_utils.py:187} INFO - Output:
[2024-06-23T02:01:00.560+0000] {process_utils.py:191} INFO - created virtual environment CPython3.12.3.final.0-64 in 254ms
[2024-06-23T02:01:00.560+0000] {process_utils.py:191} INFO -   creator CPython3Posix(dest=/tmp/venvz9o8bq41, clear=False, no_vcs_ignore=False, global=True)
[2024-06-23T02:01:00.561+0000] {process_utils.py:191} INFO -   seeder FromAppData(download=False, pip=bundle, via=copy, app_data_dir=/home/***/.local/share/virtualenv)
[2024-06-23T02:01:00.561+0000] {process_utils.py:191} INFO -     added seed packages: pip==24.0
[2024-06-23T02:01:00.562+0000] {process_utils.py:191} INFO -   activators BashActivator,CShellActivator,FishActivator,NushellActivator,PowerShellActivator,PythonActivator
[2024-06-23T02:01:00.586+0000] {process_utils.py:183} INFO - Executing cmd: /tmp/venvz9o8bq41/bin/pip install -r /tmp/venvz9o8bq41/requirements.txt
[2024-06-23T02:01:00.587+0000] {process_utils.py:187} INFO - Output:
[2024-06-23T02:01:05.732+0000] {process_utils.py:191} INFO - 
[2024-06-23T02:01:05.732+0000] {process_utils.py:191} INFO - [notice] A new release of pip is available: 24.0 -> 24.1
[2024-06-23T02:01:05.733+0000] {process_utils.py:191} INFO - [notice] To update, run: python -m pip install --upgrade pip
[2024-06-23T02:01:05.828+0000] {process_utils.py:183} INFO - Executing cmd: /tmp/venvz9o8bq41/bin/python /tmp/venv-call9zgeduvn/script.py /tmp/venv-call9zgeduvn/script.in /tmp/venv-call9zgeduvn/script.out /tmp/venv-call9zgeduvn/string_args.txt /tmp/venv-call9zgeduvn/termination.log
[2024-06-23T02:01:05.828+0000] {process_utils.py:187} INFO - Output:
[2024-06-23T02:01:07.963+0000] {process_utils.py:191} INFO - ----------------------------------------------------------------------------------------------------
[2024-06-23T02:01:07.964+0000] {process_utils.py:191} INFO - raw data:
[2024-06-23T02:01:07.964+0000] {process_utils.py:191} INFO - name        url                                       weight    parent_cluster    parent_centroid    deviation_factor
[2024-06-23T02:01:07.965+0000] {process_utils.py:191} INFO - ----------  --------------------------------------  --------  ----------------  -----------------  ------------------
[2024-06-23T02:01:07.965+0000] {process_utils.py:191} INFO - bulbasaur   https://pokeapi.co/api/v2/pokemon/1/          69                 1            199.601          0.654311
[2024-06-23T02:01:07.966+0000] {process_utils.py:191} INFO - ivysaur     https://pokeapi.co/api/v2/pokemon/2/         130                 1            199.601          0.348702
[2024-06-23T02:01:07.966+0000] {process_utils.py:191} INFO - venusaur    https://pokeapi.co/api/v2/pokemon/3/        1000                 0            839.234          0.191562
[2024-06-23T02:01:07.967+0000] {process_utils.py:191} INFO - charmander  https://pokeapi.co/api/v2/pokemon/4/          85                 1            199.601          0.574151
[2024-06-23T02:01:07.967+0000] {process_utils.py:191} INFO - charmeleon  https://pokeapi.co/api/v2/pokemon/5/         190                 1            199.601          0.0481026
[2024-06-23T02:01:07.967+0000] {process_utils.py:191} INFO - charizard   https://pokeapi.co/api/v2/pokemon/6/         905                 0            839.234          0.0783638
[2024-06-23T02:01:07.967+0000] {process_utils.py:191} INFO - squirtle    https://pokeapi.co/api/v2/pokemon/7/          90                 1            199.601          0.549101
[2024-06-23T02:01:07.968+0000] {process_utils.py:191} INFO - wartortle   https://pokeapi.co/api/v2/pokemon/8/         225                 1            199.601          0.127247
[2024-06-23T02:01:07.968+0000] {process_utils.py:191} INFO - blastoise   https://pokeapi.co/api/v2/pokemon/9/         855                 0            839.234          0.0187857
[2024-06-23T02:01:07.968+0000] {process_utils.py:191} INFO - caterpie    https://pokeapi.co/api/v2/pokemon/10/         29                 1            199.601          0.85471
[2024-06-23T02:01:07.969+0000] {process_utils.py:191} INFO - metapod     https://pokeapi.co/api/v2/pokemon/11/         99                 1            199.601          0.504011
[2024-06-23T02:01:07.969+0000] {process_utils.py:191} INFO - butterfree  https://pokeapi.co/api/v2/pokemon/12/        320                 1            199.601          0.603196
[2024-06-23T02:01:07.969+0000] {process_utils.py:191} INFO - weedle      https://pokeapi.co/api/v2/pokemon/13/         32                 1            199.601          0.83968
[2024-06-23T02:01:07.970+0000] {process_utils.py:191} INFO - kakuna      https://pokeapi.co/api/v2/pokemon/14/        100                 1            199.601          0.499001
[2024-06-23T02:01:07.970+0000] {process_utils.py:191} INFO - beedrill    https://pokeapi.co/api/v2/pokemon/15/        295                 1            199.601          0.477946
[2024-06-23T02:01:07.970+0000] {process_utils.py:191} INFO - pidgey      https://pokeapi.co/api/v2/pokemon/16/         18                 1            199.601          0.90982
[2024-06-23T02:01:07.970+0000] {process_utils.py:191} INFO - pidgeotto   https://pokeapi.co/api/v2/pokemon/17/        300                 1            199.601          0.502996
[2024-06-23T02:01:07.971+0000] {process_utils.py:191} INFO - pidgeot     https://pokeapi.co/api/v2/pokemon/18/        395                 1            199.601          0.978945
[2024-06-23T02:01:07.971+0000] {process_utils.py:191} INFO - rattata     https://pokeapi.co/api/v2/pokemon/19/         35                 1            199.601          0.82465
[2024-06-23T02:01:07.971+0000] {process_utils.py:191} INFO - raticate    https://pokeapi.co/api/v2/pokemon/20/        185                 1            199.601          0.0731526
[2024-06-23T02:01:07.972+0000] {process_utils.py:191} INFO - spearow     https://pokeapi.co/api/v2/pokemon/21/         20                 1            199.601          0.8998
[2024-06-23T02:01:07.972+0000] {process_utils.py:191} INFO - fearow      https://pokeapi.co/api/v2/pokemon/22/        380                 1            199.601          0.903795
[2024-06-23T02:01:07.972+0000] {process_utils.py:191} INFO - ekans       https://pokeapi.co/api/v2/pokemon/23/         69                 1            199.601          0.654311
[2024-06-23T02:01:07.973+0000] {process_utils.py:191} INFO - arbok       https://pokeapi.co/api/v2/pokemon/24/        650                 0            839.234          0.225485
[2024-06-23T02:01:07.973+0000] {process_utils.py:191} INFO - pikachu     https://pokeapi.co/api/v2/pokemon/25/         60                 1            199.601          0.699401
[2024-06-23T02:01:07.973+0000] {process_utils.py:191} INFO - raichu      https://pokeapi.co/api/v2/pokemon/26/        300                 1            199.601          0.502996
[2024-06-23T02:01:07.974+0000] {process_utils.py:191} INFO - sandshrew   https://pokeapi.co/api/v2/pokemon/27/        120                 1            199.601          0.398802
[2024-06-23T02:01:07.974+0000] {process_utils.py:191} INFO - sandslash   https://pokeapi.co/api/v2/pokemon/28/        295                 1            199.601          0.477946
[2024-06-23T02:01:07.974+0000] {process_utils.py:191} INFO - nidoran-f   https://pokeapi.co/api/v2/pokemon/29/         70                 1            199.601          0.649301
